i,f,dt,pos,abs(dt),1,2,3,4
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,11823,1031,1.0001E+23,1031,1031,1031,132102,130040
11823,10792,-1031,1.0001E+23,1031,-1031,-1031,130040,132102
10792,10795,3,1.0001E+23,3,3,3,131074,131068
10795,10792,-3,1.0001E+23,3,-3,-3,131068,131074
10792,10794,2,1.0001E+23,2,2,2,131073,131069
10794,10793,-1,1.0001E+23,1,-1,-1,131070,131072
10793,9765,-1028,1.0001E+23,1028,-1028,-1028,130043,132099
9765,130042,-10794,1.11111E+23,10794,120277,120277,251348,10794
130042,101258,-28784,1.11E+23,28784,-28784,-28784,102287,159855
101258,74528,-26730,1.1001E+23,26730,-26730,-26730,104341,157801
74528,69388,-5140,1.1E+23,5140,-5140,-5140,125931,136211
69388,69391,3,1.1E+23,3,3,3,131074,131068
69391,69388,-3,1.1E+23,3,-3,-3,131068,131074
69388,68360,-1028,1.1E+23,1028,-1028,-1028,130043,132099
68360,38550,-29810,1.01001E+23,29810,-29810,-29810,101261,160881
38550,21073,-17477,1.00101E+23,17477,-17477,-17477,113594,148548
21073,127985,-24159,1.11111E+23,24159,106912,106912,237983,24159
127985,127984,-1,1.11111E+23,1,-1,-1,131070,131072
127984,125931,-2053,1.1111E+23,2053,-2053,-2053,129018,133124
125931,84809,-41122,1.101E+23,41122,-41122,-41122,89949,172193
84809,37523,-47286,1.01001E+23,47286,-47286,-47286,83785,178357
37523,39577,2054,1.01001E+23,2054,2054,2054,133125,129017
39577,39578,1,1.01001E+23,1,1,1,131072,131070
39578,36495,-3083,1.01E+23,3083,-3083,-3083,127988,134154
36495,112564,-55002,1.11011E+23,55002,76069,76069,207140,55002
112564,102285,-10279,1.11E+23,10279,-10279,-10279,120792,141350
102285,102286,1,1.11E+23,1,1,1,131072,131070
102286,102284,-2,1.11E+23,2,-2,-2,131069,131073
102284,78643,-23641,1.1001E+23,23641,-23641,-23641,107430,154712
78643,27243,-51400,1.0011E+23,51400,-51400,-51400,79671,182471
27243,29296,2053,1.00111E+23,2053,2053,2053,133124,129018
29296,29296,0,1.00111E+23,0,0,0,131071,131071
29296,28269,-1027,1.0011E+23,1027,-1027,-1027,130044,132098
28269,6683,-21586,1.00001E+23,21586,-21586,-21586,109485,152657
6683,98173,-39581,1.11E+23,39581,91490,91490,222561,39581
98173,99201,1028,1.11E+23,1028,1028,1028,132099,130043
99201,99201,0,1.11E+23,0,0,0,131071,131071
99201,96118,-3083,1.10111E+23,3083,-3083,-3083,127988,134154
96118,47803,-48315,1.01011E+23,48315,-48315,-48315,82756,179386
47803,36492,-11311,1.01E+23,11311,-11311,-11311,119760,142382
36492,36495,3,1.01E+23,3,3,3,131074,131068
36495,36494,-1,1.01E+23,1,-1,-1,131070,131072
36494,10794,-25700,1.0001E+23,25700,-25700,-25700,105371,156771
10794,92004,-49861,1.1011E+23,49861,81210,81210,212281,49861
92004,92005,1,1.1011E+23,1,1,1,131072,131070
92005,92005,0,1.1011E+23,0,0,0,131071,131071
92005,88921,-3084,1.10101E+23,3084,-3084,-3084,127987,134155
88921,38549,-50372,1.01001E+23,50372,-50372,-50372,80699,181443
38549,36495,-2054,1.01E+23,2054,-2054,-2054,129017,133125
36495,36494,-1,1.01E+23,1,-1,-1,131070,131072
36494,36493,-1,1.01E+23,1,-1,-1,131070,131072
36493,514,-35979,1E+23,35979,-35979,-35979,95092,167050
514,105370,-26215,1.11001E+23,26215,104856,104856,235927,26215
105370,105371,1,1.11001E+23,1,1,1,131072,131070
105371,105371,0,1.11001E+23,0,0,0,131071,131071
105371,100228,-5143,1.11E+23,5143,-5143,-5143,125928,136214
100228,44719,-55509,1.0101E+23,55509,-55509,-55509,75562,186580
44719,40606,-4113,1.01001E+23,4113,-4113,-4113,126958,135184
40606,40606,0,1.01001E+23,0,0,0,131071,131071
40606,39577,-1029,1.01001E+23,1029,-1029,-1029,130042,132100
39577,10794,-28783,1.0001E+23,28783,-28783,-28783,102288,159854
10794,116678,-25187,1.111E+23,25187,105884,105884,236955,25187
116678,117706,1028,1.111E+23,1028,1028,1028,132099,130043
117706,117704,-2,1.111E+23,2,-2,-2,131069,131073
117704,104343,-13361,1.11001E+23,13361,-13361,-13361,117710,144432
104343,48828,-55515,1.01011E+23,55515,-55515,-55515,75556,186586
48828,45745,-3083,1.01011E+23,3083,-3083,-3083,127988,134154
45745,45745,0,1.01011E+23,0,0,0,131071,131071
45745,43690,-2055,1.0101E+23,2055,-2055,-2055,129016,133126
43690,6683,-37007,1.00001E+23,37007,-37007,-37007,94064,168078
6683,106396,-31358,1.11001E+23,31358,99713,99713,230784,31358
106396,106397,1,1.11001E+23,1,1,1,131072,131070
106397,106396,-1,1.11001E+23,1,-1,-1,131070,131072
106396,90977,-15419,1.1011E+23,15419,-15419,-15419,115652,146490
90977,39576,-51401,1.01001E+23,51401,-51401,-51401,79670,182472
39576,38548,-1028,1.01001E+23,1028,-1028,-1028,130043,132099
38548,39578,1030,1.01001E+23,1030,1030,1030,132101,130041
39578,36494,-3084,1.01E+23,3084,-3084,-3084,127987,134155
36494,114620,-52945,1.11011E+23,52945,78126,78126,209197,52945
114620,95088,-19532,1.10111E+23,19532,-19532,-19532,111539,150603
95088,95090,2,1.10111E+23,2,2,2,131073,131069
95090,95088,-2,1.10111E+23,2,-2,-2,131069,131073
95088,90979,-4109,1.1011E+23,4109,-4109,-4109,126962,135180
90979,48829,-42150,1.01011E+23,42150,-42150,-42150,88921,173221
48829,32383,-16446,1.00111E+23,16446,-16446,-16446,114625,147517
32383,32381,-2,1.00111E+23,2,-2,-2,131069,131073
32381,31355,-1026,1.00111E+23,1026,-1026,-1026,130045,132097
31355,1541,-29814,1E+23,29814,-29814,-29814,101257,160885
1541,98172,-34440,1.10111E+23,34440,96631,96631,227702,34440
98172,98175,3,1.10111E+23,3,3,3,131074,131068
98175,98174,-1,1.10111E+23,1,-1,-1,131070,131072
98174,74530,-23644,1.1001E+23,23644,-23644,-23644,107427,154715
74530,38548,-35982,1.01001E+23,35982,-35982,-35982,95089,167053
38548,39578,1030,1.01001E+23,1030,1030,1030,132101,130041
39578,39576,-2,1.01001E+23,2,-2,-2,131069,131073
39576,26214,-13362,1.0011E+23,13362,-13362,-13362,117709,144433
26214,113595,-43690,1.11011E+23,43690,87381,87381,218452,43690
113595,114621,1026,1.11011E+23,1026,1026,1026,132097,130045
114621,114621,0,1.11011E+23,0,0,0,131071,131071
114621,79669,-34952,1.10011E+23,34952,-34952,-34952,96119,166023
79669,53971,-25698,1.01101E+23,25698,-25698,-25698,105373,156769
53971,54999,1028,1.01101E+23,1028,1028,1028,132099,130043
54999,54998,-1,1.01101E+23,1,-1,-1,131070,131072
54998,54998,0,1.01101E+23,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
,,,,0,0,0,131071,131071
